 C Interfaces and Implementations: Techniques for Creating Reusable Software;0201498413;9780201498417; David R. Hanson;Addison-Wesley Professional;reusable, software, creating, techniques, implementations, interfaces;544;1996-08-30;Paperback;54.99 USD
 C++ Programming Professional Made Easy: Expert C++ Programming Language Success in a Day for Any Computer User!;1508429081;9781508429081; Sam Key;CreateSpace Independent Publishing Platform;programming, day, computer, user, success, expert, professional, made, easy, language;92;2015-02-09;Paperback;22.85 USD
 Beginning C Programming;1861001142;9781861001146; Ivor Horton;Wrox Press;programming, beginning;525;1997-08;Paperback;29.95 USD
 Programming Arduino: Getting Started With Sketches;0071784225;9780071784221; Monk Simon;Tab Books;sketches, started, getting, arduino, programming;162;2011-11-08;Paperback;15.00 USD
 Programming Problems: Advanced Algorithms (Volume 2);1484964098;9781484964095; Bradley Green;CreateSpace Independent Publishing Platform;volume, algorithms, advanced, problems, programming;200;2013-02-27;Paperback;13.95 USD
 Head First C#;1449343503;9781449343507;Jennifer Greene, Andrew Stellman;O\'Reilly Media;first, head;1100;2013-09-16;Paperback;54.99 USD
 Programming Embedded Systems in C and C++;1565923545;9781565923546; Michael Barr;O\'Reilly Media;systems, embedded, programming;200;1999-02-09;Paperback;29.95 USD
 Objective-C Programming: The Big Nerd Ranch Guide (Big Nerd Ranch Guides);0321706285;9780321706287; Aaron Hillegass;Big Nerd Ranch Guides;ranch, nerd, guides, guide, programming, objective;288;2011-10-28;Paperback;39.99 USD
 C Programming for the Absolute Beginner;1598634801;9781598634808; Michael Vine;Cengage Learning PTR;beginner, absolute, programming;336;2007-10-11;Paperback;29.99 USD
 Introduction to C Programming;0198086393;9780198086390; Reema Thareja;Oxford University Press;programming, introduction;448;2013-04-19;Paperback;29.95 USD
 Schaum's Outline of Programming with C;0070240353;9780070240353; Byron Gottfried;McGraw-Hill;programming, outline, schaum;532;1996-06-22;Paperback;20.00 USD
 Oracle Database 12c PL/SQL Advanced Programming Techniques;0071835148;9780071835145;Michael McLaughlin, John Harper;McGraw-Hill Osborne Media;programming, techniques, advanced, sql, database, 12c, oracle;448;2014-11-10;Paperback;75.00 USD
 Computer Science: A Structured Programming Approach Using C (3rd Edition);0534491324;9780534491321;Behrouz A. Forouzan, Richard F. Gilberg;Cengage Learning;approach, using, programming, structured, science, computer;1184;2006-02-06;Paperback;210.95 USD
 System Programming with C and Unix;0136067123;9780136067122; Adam Hoover;Addison-Wesley;unix, programming, system;400;2009-02-23;Paperback;142.60 USD
 The CERT® C Coding Standard, Second Edition: 98 Rules for Developing Safe, Reliable, and Secure Systems (2nd Edition) (SEI Series in Software Engineering);0321984048;9780321984043; Robert C. Seacord;Addison-Wesley Professional;systems, secure, sei, series, engineering, software, reliable, safe, standard, coding, second, rules, developing, cert??;576;2014-04-24;Paperback;59.99 USD
 The Standard C Library;0131315099;9780131315099; P.J. Plauger;Prentice Hall;library, standard;512;1992-07-11;Paperback;84.67 USD
 Beginning Visual C# 2012 Programming;1118314417;9781118314418;Karli Watson, Jacob Vibe Hammer, Jon D. Reid, Morgan Skinner, Daniel Kemper, Christian Nagel;Wrox;programming, visual, beginning;912;2012-12-17;Paperback;44.99 USD
 Programming Abstractions in C++;0133454843;9780133454840; Eric Roberts;Prentice Hall;abstractions, programming;960;2013-08-07;Paperback;162.20 USD
 Data Structures and Algorithms Made Easy: Data Structure and Algorithmic Puzzles, Second Edition;1468108867;9781468108866; Narasimha Karumanchi;CreateSpace Independent Publishing Platform;data, algorithmic, puzzles, second, structure, easy, structures, algorithms, made;434;2011-12-19;Paperback;39.99 USD
 Programming for the Absolute Beginner;1598633740;9781598633740; Jerry Lee Ford Jr.;Cengage Learning PTR;beginner, absolute, programming;384;2007-04-23;Paperback;29.99 USD
 Advanced C Programming by Example;0534951406;9780534951405; John W. Perry;Pws Pub Co;example, programming, advanced;320;1998-01-14;Paperback;60.95 USD
 LEGO® Mindstorms NXT Power Programming: Robotics in C;0973864974;9780973864977; John C. Hansen;Variant Press;programming, robotics, power, nxt, mindstorms, lego??;560;2009-09-01;Paperback;29.95 USD
 Concepts in Programming Languages;0521780985;9780521780988; John C. Mitchell;Cambridge University Press;languages, programming, concepts;540;2002-10-14;Hardcover;94.99 USD
 C++ Primer Plus (6th Edition) (Developer's Library);0321776402;9780321776402; Stephen Prata;Addison-Wesley Professional;library, developer, plus, primer;1200;2011-10-28;Paperback;59.99 USD
 Programming in Objective-C (5th Edition) (Developer's Library);032188728X;9780321887283; Stephen G. Kochan;Addison-Wesley Professional;library, developer, objective, programming;552;2012-12-14;Paperback;49.99 USD
 Beginning C++ Through Game Programming;1435457420;9781435457423; Michael Dawson;Cengage Learning PTR;programming, game, beginning;432;2010-10-18;Paperback;34.99 USD
 C Programming for Embedded Systems;1929629044;9781929629046; Kirk Zurell;CRC Press;systems, embedded, programming;172;2000-03-01;Paperback;32.95 USD
 C by Dissection: The Essentials of C Programming (4th Edition);0201713748;9780201713749;Al Kelley, Ira Pohl;Addison-Wesley;programming, essentials, dissection;641;2000-11-09;Paperback;154.40 USD
 Programming C# 5.0: Building Windows 8, Web, and Desktop Applications for the .NET 4.5 Framework;1449320414;9781449320416; Ian Griffiths;O\'Reilly Media;applications, net, framework, desktop, web, building, windows, programming;886;2012-11-08;Paperback;54.99 USD
 PC Magazine Guide to C Programming;1562760696;9781562760694; Jack J. Purdum;Ziff Davis Pr;programming, guide, magazine;498;1992-07;Paperback;29.95 USD
 C: The Complete Reference, 4th Ed.;0072121246;9780072121247; Herbert Schildt;McGraw-Hill Osborne Media;reference, complete;805;2000-04-26;Paperback;44.00 USD
 C: How to Program (6th Edition);0136123562;9780136123569;Paul Deitel, Harvey M. Deitel;Prentice Hall;program;1008;2009-11-08;Paperback;144.20 USD
 Secure Programming Cookbook for C and C++: Recipes for Cryptography, Authentication, Input Validation & More;0596003943;9780596003944;John Viega, Matt Messier;O\'Reilly Media;authentication, input, validation, cryptography, recipes, programming, cookbook, secure;792;2003-07-24;Paperback;74.99 USD
 Test Driven Development for Embedded C (Pragmatic Programmers);193435662X;9781934356623; James W. Grenning;Pragmatic Bookshelf;pragmatic, programmers, embedded, development, driven, test;352;2011-05-05;Paperback;34.95 USD
 Beginning Programming in 24 Hours, Sams Teach Yourself (3rd Edition);0672337002;9780672337000;Greg Perry, Dean Miller;Sams Publishing;teach, yourself, sams, hours, programming, beginning;464;2013-12-19;Paperback;29.99 USD
 C: How to Program, 7th Edition;013299044X;9780132990448;Paul Deitel, Harvey Deitel;Prentice Hall;program;912;2012-03-04;Paperback;164.60 USD
 The Linux Programming Interface: A Linux and UNIX System Programming Handbook;1593272200;9781593272203; Michael Kerrisk;No Starch Press;linux, programming, handbook, system, interface, unix;1552;2010-10-28;Hardcover;99.95 USD
 Programming in Objective-C 2.0 (2nd Edition);0321566157;9780321566157; Stephen G. Kochan;Addison-Wesley Professional;objective, programming;624;2009-01-08;Paperback;44.99 USD
 Programming Arduino Next Steps: Going Further with Sketches (Tab);0071830251;9780071830256; Simon Monk;McGraw-Hill/TAB Electronics;sketches, tab, further, going, arduino, steps, programming;288;2013-09-25;Paperback;20.00 USD
 C Programming for Microcontrollers Featuring ATMEL's AVR Butterfly and the free WinAVR Compiler;0976682206;9780976682202; Joe Pardue;Smiley Micros;free, winavr, compiler, butterfly, avr, microcontrollers, featuring, atmel, programming;300;2005-03-01;Paperback;49.95 USD
 iOS 7 Programming Fundamentals: Objective-C, Xcode, and Cocoa Basics;1491945575;9781491945575; Matt Neuburg;O\'Reilly Media;cocoa, basics, xcode, objective, programming, fundamentals, ios;422;2013-11-01;Paperback;44.99 USD
 Objective-C and iOS Programming: A Simplified Approach To Developing Apps for the Apple iPhone & iPad;1285187059;9781285187051; Arshia Khan;Cengage Learning;apps, iphone, ipad, developing, approach, ios, programming, simplified, objective;528;2014-01-28;Paperback;84.95 USD
 Programming in the Key of C#: A Primer for Aspiring Programmers (Developer Reference);0735618003;9780735618008; Charles Petzold;Microsoft Press;developer, reference, programmers, aspiring, key, primer, programming;432;2003-07-31;Paperback;29.99 USD
 Programming in ANSI C Deluxe Revised;0672303396;9780672303395; Stephen Kochan;Sams;revised, deluxe, ansi, programming;534;1994-01;Paperback;29.95 USD
 Embedded C Programming: Techniques and Applications of C and PIC MCUS;0128013141;9780128013144; Mark Siegesmund;Newnes;pic, mcus, applications, techniques, programming, embedded;424;2014-10-03;Paperback;59.95 USD
 Programming And Problem Solving With C++: Comprehensive;1284028763;9781284028768;Nell Dale, Chip Weems;Jones & Bartlett Learning;comprehensive, solving, problem, programming;1068;2013-03-06;Paperback;154.95 USD
 C Programming Success in a Day & C Programming Professional Made Easy (Volume 1);1511442360;9781511442367; Sam Key;CreateSpace Independent Publishing Platform;programming, easy, volume, made, professional, success, day;52;2015-03-24;Paperback;12.26 USD
 Functional Programming in C#: Classic Programming Techniques for Modern Projects;0470744588;9780470744581; Oliver Sturm;Wrox;programming, projects, modern, classic, functional, techniques;288;2011-04-19;Paperback;34.99 USD
 Programming with Visual C++: Concepts and Projects (Introduction to Programming);142390186X;9781423901860; James Allert;Cengage Learning;programming, introduction, projects, concepts, visual;776;2008-02-20;Paperback;203.95 USD
 Programming in Objective-C, Third Edition (Developer's Library);0321711394;9780321711397; Stephen G. Kochan;Addison-Wesley Professional;library, developer, third, objective, programming;552;2011-06-20;Paperback;49.99 USD
 Schaum's Outline of Programming with C++;0071353461;9780071353465; John Hubbard;McGraw-Hill;programming, outline, schaum;422;2000-06-06;Paperback;22.00 USD
 Exam Ref 70-483 Programming in C# (MCSD);0735676828;9780735676824; Wouter de Kort;Microsoft Press;mcsd, programming, ref, exam;384;2013-07-25;Paperback;39.99 USD
 Embedded C Programming and the Atmel AVR;1418039594;9781418039592;Richard H. Barnett, Sarah Cox, Larry O\'Cull;Cengage Learning;avr, atmel, programming, embedded;560;2006-06-05;Paperback;237.95 USD
 Microsoft Quick C Programming: The Microsoft Guide to Using the Quick C Compiler (Quick reference);1556150482;9781556150487;Mitchell Waite, et al, The Waite Group;Microsoft Press,U.S.;quick, microsoft, reference, compiler, guide, programming, using;400;1988-11-24;Paperback;Unknown
 Head First C#, 2E: A Learner's Guide to Real-World Programming with Visual C# and .NET (Head First Guides);1449380344;9781449380342;Andrew Stellman, Jennifer Greene;O\'Reilly Media;head, first, visual, guides, programming, net, real, learner, guide, world;840;2010-05-31;Paperback;49.99 USD
 C++ Primer (5th Edition);0321714113;9780321714114;Stanley B. Lippman, Josée Lajoie, Barbara E. Moo;Addison-Wesley Professional;primer;976;2012-08-16;Paperback;64.99 USD
 Programming 32-bit Microcontrollers in C: Exploring the PIC32 (Embedded Technology);0750687096;9780750687096; Lucio Di Jasio;Newnes;embedded, technology, pic32, exploring, bit, microcontrollers, programming;552;2008-04-17;Paperback;72.95 USD
 Programming in Objective-C (4th Edition) (Developer's Library);0321811909;9780321811905; Stephen G. Kochan;Addison-Wesley Professional;library, developer, objective, programming;600;2011-12-26;Paperback;49.99 USD
 Graphics Programming in C: A Comprehensive Resource for Every C Programmer : Covers Cga, Ega, and Vga Graphic Displays and Includes a Complete Toolb;1558510184;9781558510180; Roger T. Stevens;M & T Books;graphic, vga, displays, includes, toolb, complete, ega, cga, comprehensive, programming, resource, programmer, covers, graphics;639;1988-11;Paperback;26.95 USD
 Programming C#: Building .NET Applications with C#;0596006993;9780596006990; Jesse Liberty;O\'Reilly Media;applications, net, building, programming;672;2005-03-04;Paperback;44.95 USD
 Sams Teach Yourself C++ in One Hour a Day (7th Edition);0672335670;9780672335679; Siddhartha Rao;Sams Publishing;hour, day, one, yourself, teach, sams;768;2012-05-20;Paperback;44.99 USD
 C Traps and Pitfalls;0201179288;9780201179286; Andrew Koenig;Addison-Wesley Professional;pitfalls, traps;160;1989-01-11;Paperback;39.99 USD
 C Programming for Scientists and Engineers (Manufacturing Engineering Series);1857180305;9781857180305; Robert L. Wood;Butterworth-Heinemann;engineering, series, manufacturing, engineers, scientists, programming;160;2002-06-20;Paperback;32.95 USD
 Programming 16-Bit PIC Microcontrollers in C, Second Edition: Learning to Fly the PIC 24;1856178706;9781856178709; Lucio Di Jasio;Newnes;pic, learning, second, microcontrollers, programming, bit;416;2011-12-28;Paperback;59.95 USD
 C Programming For Scientists And Engineers With Applications;0763739529;9780763739522;Rama Reddy, Carol Ziegler;Jones & Bartlett Learning;applications, engineers, scientists, programming;838;2009-08-17;Paperback;182.95 USD
 The Clean Coder: A Code of Conduct for Professional Programmers (Robert C. Martin Series);0137081073;9780137081073; Robert C. Martin;Prentice Hall;robert, martin, series, programmers, professional, coder, code, conduct, clean;256;2011-05-23;Paperback;44.99 USD
 C Programming for Beginners: Learn with Examples;150317591X;9781503175914; Mr. Sandy Paul;CreateSpace Independent Publishing Platform;examples, learn, beginners, programming;106;2014-11-10;Paperback;12.99 USD
 Agile Principles, Patterns, and Practices in C#;0131857258;9780131857254;Robert C. Martin, Micah Martin;Prentice Hall;practices, patterns, principles, agile;768;2006-07-30;Hardcover;74.99 USD
 Beginning C# Object-Oriented Programming (Expert's Voice in .NET);1430249358;9781430249351; Dan Clark;Apress;voice, net, expert, programming, object, oriented, beginning;384;2013-03-26;Paperback;49.99 USD
 C Programming For the PC the MAC and the Arduino Microcontroller System;1491880503;9781491880500; Peter D. Minns;AuthorHouseUK;system, microcontroller, arduino, mac, programming;250;2013-11-12;Paperback;27.39 USD
 C Programming for Engineering and Computer Science (B.E.S.T. Series);0079136788;9780079136787;H.H. Tan, Tim D\'Orazio;McGraw-Hill Science/Engineering/Math;series, science, computer, engineering, programming;600;1998-09-17;Paperback;57.94 USD
 C Programming for Midi;0934375860;9780934375863; Jim Conger;M & T Books;midi, programming;219;1988-04;Paperback;22.95 USD
 Applied Cryptography: Protocols, Algorithms and Source Code in C;1119096723;9781119096726; Bruce Schneier;Wiley;source, code, algorithms, protocols, cryptography, applied;784;2015-03-30;Hardcover;70.00 USD
