 Beginning Programming with C++ For Dummies;1118823877;9,78112E+12; Stephen R. Davis;For Dummies;dummies, programming, beginning;456;27/10/2014;Paperback;29.99 USD
 C Programming: The Essentials for Engineers and Scientists (Undergraduate Texts in Computer Science);387986324;9,78039E+12; David R. Brooks;Springer;texts, computer, science, undergraduate, scientists, essentials, engineers, programming;479;01/05/1999;Hardcover;99.00 USD
 Murach's ASP.NET 4.5 Web Programming with C# 2012 (Murach: Training & Reference);1890774758;9,78189E+12;Mary Delamater, Anne Boehm;Mike Murach & Associates;murach, training, reference, programming, web, asp, net;856;07/08/2013;Paperback;57.50 USD
 C Programming A Modern Approach: With 2000+ C Codes And 23+ Complete Chapter's;150053319X;9,7815E+12; Harry. H. Chaudhary.;CreateSpace Independent Publishing Platform;complete, chapter, codes, approach, modern, programming;394;14/07/2014;Paperback;16.99 USD
 Cracking the Coding Interview: 150 Programming Questions and Solutions;098478280X;9,78098E+12; Gayle Laakmann McDowell;CareerCup;questions, solutions, programming, interview, coding, cracking;508;22/08/2011;Paperback;39.95 USD
 Programming in Visual C# 2008;73517216;9,78007E+12;Julia Case Bradley, Anita Millspaugh;McGraw-Hill/Irwin;visual, programming;679;08/01/2009;Paperback;137.34 USD
 C# Programming: From Problem Analysis to Program Design;1285096266;9,78129E+12; Barbara Doyle;Cengage Learning;design, program, analysis, problem, programming;1184;30/04/2013;Paperback;201.95 USD
 Effective TCP/IP Programming: 44 Tips to Improve Your Network Programs: 44 Tips to Improve Your Network Programs;201615894;9,7802E+12; Jon C. Snader;Addison-Wesley Professional;network, programs, improve, tips, tcp, programming, effective;320;14/05/2000;Paperback;64.99 USD
 Programming 8-bit PIC Microcontrollers in C: with Interactive Hardware Simulation;750689609;9,78075E+12; Martin P. Bates;Newnes;hardware, simulation, interactive, microcontrollers, bit, pic, programming;304;29/07/2008;Paperback;50.95 USD
 C Programming;321287630;9,78032E+12;Larry Ullman, Marc Liyanage;Peachpit Press;programming;408;23/10/2004;Paperback;26.99 USD
 Practical UML Statecharts in C/C++: Event-Driven Programming for Embedded Systems;750687061;9,78075E+12; Miro Samek;CRC Press;programming, embedded, systems, driven, event, uml, statecharts, practical;728;01/10/2008;Paperback;59.95 USD
 C: A Reference Manual (5th Edition);013089592X;9,78013E+12;Samuel P. Harbison, Guy L. Steele Jr.;Prentice Hall;manual, reference;560;03/03/2002;Paperback;81.40 USD
